title;composition;calorie;protein;fat;carbohydrate;categoty;barcode
Готовое блюдо Кронидов в фольге Говядина с макаронами, 250г;Говядина (не менее 37%), макаронные изделия, морковь свежая, лук репчатый сушеный, соль поваренная пищевая, масло растительное, специи.;291;9.5;13;34;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Котлета с гречей, 250г;Гарнир: крупа гречневая, вода питьевая, масло растительное, лук репчатый сушеный, морковь свежая, соль поваренная пищевая, чеснок сушеный. Котлета: свинина, говядина, лук репчатый сушеный, текстурат соевый, соль поваренная пищевая, перец черный молотый.;278;6;22;14;Готовая еда;Неизвестно
Крем-суп Pervafood грибной, 300г;Вода питьевая, картофель, шампиньоны, лук репчатый, сливки питьевые стерилизованные, масло подсолнечное рафинированное, сахар, соль, натуральный ароматизатор дрожжевой экстракт, стабилизатор ксантановая камедь, комплексная пищевая добавка глюкоза ферментированная, перец белый молотый, консервант сорбат калия. Возможно наличие в незначительных количествах яичного порошка, сухого молока, горчицы, сои, злаков, орехов и продуктов их переработки.;85;1.5;5.4;7.5;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Цыплёнок с овощами по-мексикански, 325г;Мясо цыпленка, горошек зеленый, кукуруза сладкая, перец сладкий, лук репчатый сушеный, морковь свежая, крупа рисовая, чеснок, соль поваренная пищевая, перец черный молотый.;131;6;7;11;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Паста Карбонара с сыром и беконом, 300г;Сыр, бекон свиной сырокопченый, макаронные изделия, вода, чеснок, перец черный, петрушка, паприка, перец белый, горчица, соль, масло пордсолнечное, крахмал картофельный, ароматизатор натуральный Масло сливочное, усилитель вкуса и аромата глутамат натрия.;136.6;2.2;7.1;22.1;Готовая еда;Неизвестно
Крем-суп Pervafood сырный с пармезаном, 300г;Вода, картофель, морковь, лук, сливки питьевые стерилизованные, масло подсолнечное рафинированное, комплексная пищевая добавка Пармезан (соль, сыворотка сухая молочная, мальтодекстрин, лактоза, декстроза, ароматизатор сыра Пармезан, мука пшеничная, сырный порошок, экстракт дрожжей), натуральный ароматизатор дрожжевой экстракт, соль, комплексная пищевая добавка глюкоза ферментированная, консервант сорбат калия, стабилизатор ксантановая камедь;65;1.5;3.5;7;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Буженина из свинины в собственном соку, 325г;Свинина (не менее 95%), чеснок свежий, смесь специй (паприка красная, петрушка, перец черный дробленый), соль поваренная пищевая.;257;15;16;0;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Греча с говядиной, 250г;Говядина (37,7%), крупа гречневая, вода питьевая, масло растительное, лук репчатый сушеный, морковь свежая, соль поваренная пищевая, чеснок сушеный.;290;6;22;17;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Куриный суп По-домашнему, 300г;Бульон куриный, филе цыпленка, морковь свежая, картофель свежий, лук репчатый сушеный, изделия макаронные, масло растительное, укроп сушеный, соль поваренная пищевая, смесь специй.;127;3;5;17.5;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Борщ, 300г;Бульон мясной, говядина, свекла столовая свежая, капуста белокачанная свежая, морковь свежая, картофель свежий, лук репчатый сушеный, томат-паста, сахар-песок, уксус, соль поваренная пищевая, чеснок свежий, специи, лавровый лист.;155;3.5;9;15;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Солянка, 300г;Бульон мясной, свинина, бекон сырокопченый, огурцы соленые, сосиски, морковь свежая, картофель свежий, лук репчатый сушеный, томат-паста, маслины, лимон свежий, соль поваренная пищевая, специи, лавровый лист.;238;3.5;16;20;Готовая еда;Неизвестно
Картофель СытоЕдов с грибами по-старорусски запечённый, 300г;"Картофель, шампиньоны свежие, лук репчатый, бульон грибной (вода питьевая, шампиньоны свежие), масло подсолнечное рафинированное дезодорированное, мука пшеничная хлебобпекарная в/с, соль, перец черный молотый, петрушка сушеная. Не рекомендуется при индивидуальной	 непереносимости к глютену. Может содержать следы белка молока, яиц, рыбы, сои.";324.3;9;18.3;30.9;Готовая еда;Неизвестно
Лазанья Золотой Петушок с соусом Болоньез, 370г;Соус (вода питьевая, говядина, морковь, мясо цыпленка механической обвалки, паста томатная, молоко сухое обезжиренное, мукапшеничная высшего сорта, масло сливочное, лук репчатый, соль, крахмал кукурузный, сахар, масло растительное, пряности, зеленьпетрушки сушеная, базилик сушеный). тесто для лазаньи (мука из твердой пшеницы высшего сорта, вода питьевая, глютен пшеничный), сыр(молоко пастеризованное, соль поваренная пищевая, закваска термофильных и мезофильных молочнокислых микроорганизмов,молокосвертывающий ферментный препарат микробного происхождения, консервант нитрат калия, краситель аннато, уплотнитель хлоридкальция). продукт может содержать следы белка соевого, продуктов яичных, порошка горчичного, кунжута, сельдерея.;116.9;7.4;3.7;13.5;Готовая еда;Неизвестно
Блюдо для запекания Баклажаны Пармиджано с соусом болоньезе Шеф Перекрёсток, 450г;Баклажаны, соус болоньезе [говядина, томаты измельченные, паста томатная, перец сладкий, масло сливочное, лук репчатый, сахар, бульон говяжий сухой, масло подсолнечное, чеснок, сельдерей стебли, базилик свежий, специи], мука пшеничная, сыр моцарелла, масло фритюрное, сыр твердый, соль, сахар.;205;7.5;14.2;11.8;Готовая еда;Неизвестно
Блюдо для запекания Котлеты из лосося и креветок с овощным рагу Шеф Перекрёсток, 250г;Рагу овощное  (перец болгарский сладкий, шампиньоны, батат запечённый (батат, сахар, корица молотая, бадьян), морковь, лук красный, нут консервированный), котлеты запечённые (филе лосося слабосоленого, креветка белоногая очищенная,  филе минтая, сыр «Моцарелла» (содержит лактозу), лук репчатый, хлеб (содержит глютен), молоко питьевое, масло подсолнечное,  сухари панировочные (модержит глютен), яйцо куриное, соль, перец черный молотый), соус шпинатный (молоко питьевое, шпинат, вода питьевая, сливки питьевые, лук порей, масло оливковое, имбирь, чеснок, соль, крахмал кукурузный), сыр «Моцарелла» (содержит лактозу).;124;8;6;9.2;Готовая еда;Неизвестно
Блюдо для запекания Каннеллони  с морепродуктами и соусом песто Шеф Перекрёсток, 270г;Соус «Бешамель» (содержит лактозу и глютен), макаронные изделия каннеллони (содержит глютен), филе трески атлантической, тушка кальмара командорского, креветка белоногая очищенная, кабачок, сыр «Моцарелла» (содержит лактозу),  соус «Песто» (содержит лактозу и орехи), соль, сок лимона прямого отжима.;168;9.7;8.1;14.1;Готовая еда;Неизвестно
Блюдо для запекания Рататуй Шеф Перекрёсток, 250г;Лук репчатый, кабачок, перец сладкий, баклажан, томаты измельченные, паста томатная, вода, масло подсолнечное, сахар, соль, сельдерей стебли, чеснок, бульон овощной сухой, травы прованские, специи, базилик свежий;70;1.5;2.8;9.5;Готовая еда;Неизвестно
Соус Philosophia De Natura Гуакама майонезный, 150г;Вода питьевая, масло подсолнечное рафинированное дезодорированное, перец сладкий свежемороженый, лук свежемороженый, пюре томатное, загустители-крахмал кукурузный модифицированный, камедь ксантановая, сахар, авокадо свежемороженое, соль пищевая, паприка молотая, чеснок свежий, сок лимона концентрированный, белок подсолнечника, регуляторы кислотности – кислота молочная, уксус, краситель натуральный хлорофилл, перец халапеньо маринованный (перец халапеньо, соль пищевая, сахар, регулятор кислотности-уксусная кислота), натуральный пищевой ароматизатор -дрожжевой экстракт, экстракты растительные, консервант –сорбат калия, ароматизаторы натуральные, перец молотый чили, антиаксидант-Е385.;310;1.5;29;9;Готовая еда;Неизвестно
Соус Аджика Шеф Перекрёсток, 35г;Вода, томатная паста, пряности и овощи сушеные (чеснок, перец красный чили, паприка красная, кориандр, шамбала, зелень укропа, базилик, чабер, зелень сельдерея), соль, сахар, кислота уксусная 70%, консерванты – Е211, Е202.;88;2;1;17;Готовая еда;Неизвестно
Соус Барбекю Шеф Перекрёсток, 35г;Патока, вода питьевая, томатная паста, сахар, соевый соус (вода, бобы соевые, мука пшеничная, соль, сахар, краситель натуральный – Е150а, стабилизатор – Е459, усилитель вкуса и аромата – E621, консерванты – Е211, Е202), загустители – Е1422, Е415, кислота уксусная 70%, соль (содержит агент антислеживающий – E536), специи, экстракт специй (куркума, розмарин), ароматизатор пищевой, краситель натуральный «карамель», консерванты – Е211, Е202, подсластитель «аспасвит» (изомальт, сахарин натрия, сукралоза).;170;0;0;42;Готовая еда;Неизвестно
Соус Чили сладкий Шеф Перекрёсток, 35г;Вода, сироп глюкозно-фруктозный, сахар, загустители – Е1422, Е410, сушеные пряности и овощи (паприка, перец красный чили, чеснок, лук), соль (содержит агент антислеживающий – E536), кислота уксусная 70%, ароматизатор, консерванты – Е211, Е202, краситель – экстракт паприки Е160с, эфирное масло чеснока.;100;0.2;0.1;26;Готовая еда;Неизвестно
Соус Медово-горчичный Шеф Перекрёсток, 35г;Масло растительное, вода питьевая, патока, горчица (вода питьевая, горчичное зерно, сахар, соль, уксус яблочный), сахар, мёд, желток яичный сухой, соль (содержит агент антислеживающий – E536), зелень укропа, регулятор кислотности – Е300, кислота уксусная 70%, экстракт специй (куркума, розмарин).;390;1.5;31;27;Готовая еда;Неизвестно
Соус Сырный Шеф Перекрёсток, 35г;Вода, масло растительное, продукт плавленный с сыром (вода, заменитель молочного жира (растительное масло, антиокислитель Е306), сухое обезжиренное молоко, эмульгаторы – Е1414,Е452i, регулятор кислотности – Е331iii, казеинат натрия, мягкий сливочный сыр (молоко пастеризованное, бактериальная закваска мезофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения), ароматизатор, краситель – Е160а, соль, регулятор кислотности – Е330), сухой яичный желток, сахар, загустители – Е1422, Е415, сырный порошок (сыр м. д. ж. 35-64%, соль-плавитель), соль (содержит агент антислеживающий – E536), кислота уксусная 70%, консерванты – Е202, Е211 Е262, экстракт специй (куркума, розмарин), перец белый молотый, томатная паста, краситель – Е160а, комплексная пищевая добавка (усилители вкуса и аромата – Е631, E27), эмульгирующая соль (эмульгатор – Е450iii), ароматизатор пищевой «сыр», антиокислитель – Е385.;300;2;30;4.3;Готовая еда;Неизвестно
Соус Сальса Шеф Перекрёсток, 35г;Вода, сахар, томатная паста, сушеные пряности и овощи (паприка красная и зеленая, лук, перец красный чили, кориандр), загустители – Е1422, Е 415, соль, кислота уксусная 70%, ароматизатор, консерванты – Е202, Е211.;70;0.5;0.1;16;Готовая еда;Неизвестно
Соус Чесночный Шеф Перекрёсток, 35г;Масло растительное, вода питьевая, сахар, сухой яичный желток, загустители – Е1422, Е415, соль (содержит агент антислеживающий – E536), кислота уксусная 70%, регулятор кислотности – Е330, специи и пряности, ароматизатор пищевой «горчица», консерванты – Е202, Е211, Е262, антиокислитель – Е385.;550;0;60;3.5;Готовая еда;Неизвестно
Уха с сёмгой Шеф Перекрёсток, 300г;Рыбный бульон (вода, сёмга, лук, морковь, укроп, петрушка, лавровый лист, соль, перец черный), картофель, морковь, помидоры, лук репчатый, сёмга, укроп.;75.8;5.6;3.4;5.7;Готовая еда;Неизвестно
Суп норвежский Шеф Перекрёсток, 300г;Бульон рыбный (вода питьевая, каркас (кости) форели радужной, лук репчатый, петрушка, соль, лавровый лист, перец черный горошек, бульон рыбный концентрат, картофель, морковь, филе форели радужной замороженное, сыр плавленый (содержит молоко), крем на растительных маслах (содержит следы сои), лук репчатый, укроп.;66.8;5.3;3.2;4.2;Готовая еда;Неизвестно
Паста Альфредо с курицей и грибами;Паста Фарфалле (мука из твердой пшеницы высшего), вода, куриное филе бедра, сливки (сливки нормализованные, стабилизатор - каррагинан), грибы шампиньоны, сыр (нормализованное молоко, соль поваренная пищевая, консервант - натрий йодистый, молокосвертывающий ферментный препарат животного происхождения, краситель натуральный - экстракт аннато, закваска мезофильных молочнокислых микроорганизмов), лук репчатый, масло оливковое, зелень петрушки, базилик, чеснок, соль.;239.6;10.7;13.6;18.5;Готовая еда;Неизвестно
Паста Шеф Перекрёсток 4 сыра, 250г;Изделия макаронные из твердой пшеницы, сливки, молоко, сыр твердый, сыр моцарелла, сыр с плесенью, сыр полутвердый, масло подсолнечное, соль, бульон куриный [содержит ароматизатор], перец черный.;229;7.7;14.5;22.5;Готовая еда;Неизвестно
Паста с курицей в соусе Альфредо Шеф Перекрёсток, 250г;Бедро куриное, изделия макаронные [содержит глютен], соус «Альфредо» [молоко, сливки, сыр, сыр моцарелла, мука пшеничная, масло сливочное, шпинат, чеснок, соль, бульон куриный, орех мускатный], масло подсолнечное, соль, чеснок, специи.;222;13.6;10.5;18.3;Готовая еда;Неизвестно
Паста с ветчиной и грибами Шеф Перекрёсток, 250г;Сливки питьевые, изделия макаронные из твердой пшеницы, шампиньоны свежие, ветчина [содержит соевый белок], вода, масло подсолнечное, бульон куриный сухой, соль.;155;5.6;8.1;14.9;Готовая еда;Неизвестно
Паста Шеф Перекрёсток Карбонара, 250г;Изделия макаронные из твердой пшеницы, сливки питьевые, бекон сырокопченый, вода, желток яичный, сыр, масло подсолнечное, соль, бульон куриный сухой, перец черный.;192;6.6;11.5;15.4;Готовая еда;Неизвестно
Паста Шеф Перекрёсток Болоньезе, 250г;Изделия макаронные из твердой пшеницы, говядина, томаты измельченные, паста томатная, масло подсолнечное, перец сладкий, масло сливочное, сыр, лук репчатый, соль, сахар, бульон говяжий, сельдерей, чеснок, базилик свежий, специи.;162;6.3;6.9;18.7;Готовая еда;Неизвестно
Плов с курицей Шеф Перекрёсток, 450г;Бедро куриное, морковь, лук репчатый, рис, масло подсолнечное, чеснок, соль, специи.;155;7.8;7;15.2;Готовая еда;Неизвестно
Плов с индейкой Шеф Перекрёсток, 250г;Филе бедра индейки, морковь, рис, лук репчатый, нут консервированный, масло подсолнечное, чеснок, соль, специи.;160;7;6.1;19.3;Готовая еда;Неизвестно
Плов с говядиной Шеф Перекрёсток, 250г;Вода питьевая, морковь, рис, говядина, масло растительное, нут, лук, соль, барбарис, чеснок, зира, приправа для плова.;216;8.4;7.2;29.2;Готовая еда;Неизвестно
Плов со свининой Шеф Перекрёсток, 450г;Свинина, лук репчатый, морковь, рис, масло подсолнечное, чеснок, соль, специи.;171;6.4;9.4;15.2;Готовая еда;Неизвестно
Плов со свининой Шеф Перекрёсток, 250г;Свинина, лук репчатый, морковь, рис, масло подсолнечное, чеснок, соль, специи.;171;6.4;9.4;15.2;Готовая еда;Неизвестно
Плов с курицей Шеф Перекрёсток, 250г;Бедро куриное, морковь, лук репчатый, рис, масло подсолнечное, чеснок, соль, специи.;155;7.8;7;15.2;Готовая еда;Неизвестно
Осетинский пирог с курицей Шеф Перекрёсток, 200г;Мука пшеничная в/с, вода питьевая, сыр (содержит молоко), филе куриной грудки, филе бедра куриного, лук репчатый, соль, масло подсолнечное, перец черный, сахар, дрожжи.;570;30;21;66;Готовая еда;Неизвестно
Салат из моркови по-корейски Шеф Перекрёсток, 180г;Морковь, сахар, чеснок, масло подсолнечное, соль, кориандр, усилитель вкуса и аромата, регулятор кислотности кислота уксусная, перец красный.;112;1.6;5.6;13.8;Готовая еда;Неизвестно
Салат из спаржи по-корейски Шеф Перекрёсток, 200г;Масса соевая протеиновая, соус-маринад на основе растительных масел (содержит следы кунжута).;276;16.8;17.1;13.8;Готовая еда;Неизвестно
Рисовая лапша с морепродуктами Шеф Перекрёсток, 240г;Лапша рисовая, кальмар, креветки, перец сладкий, соус устричный [содержит моллюски], лук репчатый, морковь, кабачок, масло подсолнечное, соус терияки, лук зеленый, приправа [содержит сою, глютену, рыбу], кинза, масло кунжутное, грибы древесные, кунжут.;147;5.4;5.3;19.3;Готовая еда;Неизвестно
Вок с говядиной Шеф Перекрёсток, 250г;Лапша яичная (содержит глютен, яичные продукты), говядина, проростки семян фасоли маш, фасоль стручковая, перец сладкий, лук репчатый, сельдерей, соус блэк пеппер (содержит сою, глютен), масло подсолнечное, кунжут белый.;192;10.8;8;18.4;Готовая еда;Неизвестно
Жареный рис по-азиатски с креветками Шеф Перекрёсток, 250г;Рис отварной (крупа рисовая, вода питьевая, соль ), кабачки, креветки, перец  сладкий, лук репчатый, соевый соус (содержит глютен, сою), масло подсолнечное, сахар, кунжут белый.;160;4.8;4;26;Готовая еда;Неизвестно
Вок с курицей Шеф Перекрёсток, 250г;Лапша яичная (содержит глютен, яичные продукты), филе куриной грудки, проростки семян фасоли маш, фасоль стручковая, перец  сладкий, лук репчатый, соус терияки (содержит сою, глютен), масло подсолнечное, кунжут белый.;216;10;4.4;34.4;Готовая еда;Неизвестно
Курица Том-ям с рисом Шеф Перекрёсток, 250г;Рис, филе грудки куриное, сливки, масло подсолнечное, молоко кокосовое, фасоль стручковая, кабачок, морковь, лук репчатый, шампиньоны, перец сладкий, паста том ям [содержит сою, рыбу, ракообразных], соль, сахар.;189;8.1;9.3;18.3;Готовая еда;Неизвестно
Удон с курицей и овощами Шеф Перекрёсток, 280г;Лапша пшеничная удон [содержит глютен], бедро куриное, перец сладкий, кабачок, морковь, масло подсолнечное, лук красный репчатый, соус терияки [содержит сою], соус чили сладкий, приправа [содержит сою, глютен, рыбу], лук зеленый, кинза, чеснок, кунжут, имбирь корень, соус соевый темный [содержит сою, глютен], соль, масло кунжутное.;184;7.4;8.7;23.9;Готовая еда;Неизвестно
Напиток из вишни, 500мл;Вода, вишня свежемороженая, сахар.;54;0.1;0;13.3;Напитки;Неизвестно
Напиток клюквенный, 500мл;Вода,клюква с/м,сахар.;50;0.1;0;12.4;Напитки;Неизвестно
Лимонад грейпфрутовый с лаймом и имбирем Шеф Перекрёсток, 250мл;Вода питьевая, сахар, соки концентрированные (грейпфрутовый, лимонный), лайм, имбирь, лимон, экстракт лайма, ароматизатор.;40;0;0;10;Напитки;Неизвестно
Лимонад клубничный с розмарином Шеф Перекрёсток, 250мл;Вода питьевая, клубника, сахар, сок концентрированный лимонный, розмарин сушеный.;30;0;0;8;Напитки;Неизвестно
Лимонад манго-маракуйя Шеф Перекрёсток, 250мл;Вода питьевая, соки концентрированные (манговый, апельсиновый, маракуйи, лимонный), сахар, экстракт орегано.;40;0;0;9;Напитки;Неизвестно
Пончик Перекрёсток Берлинский с варёной сгущёнкой, 2х64г;Мука пшеничная, яйцо, смесь (мука пшеничная, сахар, E472e, E450, дрожжи, соль), маргарин (масла: пальмовое, растительное, E471, E475, E330, куркумин), вода, вареная сгущенка (декстроза, сироп глюкозный, E1442, E466), молоко сгущенное, сахар, соль, ароматизатор, E171, E100, E334, E436), сахарная пудра (крахмал пищевой, E341, E470).;460;7.5;22;58;Готовая еда;Неизвестно
Пончик Перекрёсток Берлинский с кремом, 2х64г;Мука пшеничная, яйцо, смесь (мука пшеничная, сахар, E472e, E450, дрожжи, соль), маргарин (масла: пальмовое, растительное, вода, соль, E471, E475, E330, куркумин), вода, крем (сироп глюкозный, вода, сахар, E466, жир растительный, соль, E171, E202, E334, ароматизатор, E435), сахарная пудра (декстроза, крахмал пшеничный, жир растительный, E431, E470).;470;7;21;65;Готовая еда;Неизвестно
Хлопковый чизкейк Шеф Перекрёсток, 140г;Сыр мягкий (содержит молоко), яйцо куриное, молоко, сахар, крахмал кукурузный, масло сливочное, ароматизатор.;258;8.1;18.4;15;Готовая еда;Неизвестно
Мусс из манки с рикоттой  и клюквой  Шеф Перекрёсток, 220г;Сыр Рикотта [содержит сливки], молоко, крупа манная, крем на растительных маслах, начинка плодово-ягодная, сахар, клюква, стружка кокосовая, соль.;159;2.9;5.4;24.5;Готовая еда;Неизвестно
Оливки с мягким сыром в масле Шеф Перекрёсток, 150г;Масло растительное, оливки зеленые консервированные, сыр сливочный, специи (базилик, тимьян, орегано, розмарин, майоран, чабер, мята, паприка зеленая и красная),  смесь перцев (белый, розовый, чёрный, зелёный и душистый перцы).;520;1;57;1;Готовая еда;Неизвестно
Баклажаны Шеф Перекрёсток фаршированные сыром, 150г;Баклажан, сыр (содержит молоко), майонез (содержит яйцо, горчицу), белок яичный , зелень петрушки, масло подсолнечное, паста чесночная, зелень укропа.;268;1.8;27.2;4;Готовая еда;Неизвестно
Свёкла запечённая с мёдом, розмарином и пеканом в кунжутном соусе Шеф Перекрёсток, 200г;Салат – свёкла запечённая (содержит сою, глютен), салат романо, орех пекан,Соус – масла подсолнечное и кунжутное, вода питьевая, арахис, соевый соус (содержит глютен), уксус рисовый, горчица дижонская, сахар, семена кунжута.;167;3;12.6;10.4;Готовая еда;Неизвестно
Пирог Шеф Перекресток Осетинский с сыром, 400г;Мука пшеничная в/с, соль, сахар, вода, дрожжи сухие, масло растительное, сыр осетинский.;287;13;13;30;Готовая еда;Неизвестно
Чебурек с бараниной, 140г;Мука пшеничная хлебопекарная высшего сорта, мясо баранина, лук репчатый, яйцо куриное пищевое, вода питьевая, масло подсолнечное рафинированное, дезодорированное высший сорт ,соль пищевая , пряности (перец черный).;190;7.5;3.6;31.9;Готовая еда;Неизвестно
Перчики красные и зелёные острые фаршированные сливочным сыром в масле Шеф Перекрёсток, 250г;Рапсовое масло, сливочный сырный микс (содержит молоко), красный и зелёный острый перец.;141;5.1;11;4.2;Готовая еда;Неизвестно
Хумус со свеклой Зелёная Линия, 160г;Хумус: свекла вареная, нут вареный, паста кунжутная (кунжут белый, масло подсолнечное рафинированное дезодорированное), масло подсолнечное рафинированное дезодорированное, масло кунжутное, соль пищевая, чеснок сушеный, тмин молотый, сок лимонный концентрированный.;269;7;21;13;Готовая еда;Неизвестно
Чебурек с говядиной ручной работы, 140г;Мука пшеничная хлебопекарная высшего сорта, мясо говядина, лук репчатый, яйцо куриное пищевое, вода питьевая, масло подсолнечное рафинированное дезодорированное высший сорт, соль пищевая , пряности (перец черный).;277.7;9.4;12.2;28.6;Готовая еда;Неизвестно
